study_hours,attendance,previous_score,assignment_score,internal_marks
11,74,66,71,67
4,55,42,47,40
11,81,68,71,70
1,50,35,32,31
9,76,58,60,57
12,86,83,80,83
10,74,62,68,62
12,82,80,78,76
4,57,41,36,39
2,51,41,44,41
13,79,88,90,85
15,91,84,86,84
14,92,89,92,88
12,77,71,75,71
13,83,76,73,70
7,65,64,68,66
3,54,45,42,48
5,65,44,47,50
3,57,41,37,41
7,65,57,61,59
14,82,85,79,82
7,65,52,49,54
15,90,88,92,92
7,71,64,60,61
3,52,42,47,48
7,70,62,61,59
3,57,49,44,41
14,83,82,86,81
13,89,87,90,84
7,67,64,66,64
9,67,61,65,66
13,83,84,79,80
7,63,64,58,60
9,69,74,69,76
5,65,58,61,57
3,54,39,41,43
15,85,92,93,87
2,51,39,36,32
4,61,40,35,39
14,83,82,78,85
8,72,59,57,61
14,91,91,88,92
13,82,83,83,88
11,78,80,82,83
2,50,37,32,34
1,52,35,38,34
1,50,35,32,30
15,85,92,87,92
4,56,53,50,54
3,58,49,46,49
13,85,80,75,73
11,79,77,77,78
8,64,57,51,55
12,81,73,70,69
4,60,52,48,51
3,53,48,45,42
8,72,57,51,59
9,67,60,66,61
3,55,49,50,47
14,88,79,75,78
1,50,35,41,40
5,61,57,53,53
5,58,43,46,47
1,50,35,30,36
8,72,70,66,63
9,68,63,58,64
2,56,37,37,33
15,94,89,92,94
1,52,35,35,40
10,79,78,77,76
4,62,48,45,45
7,63,59,60,59
15,86,82,83,86
10,71,64,66,63
9,71,62,61,57
15,88,93,91,89
8,72,63,66,69
9,67,67,71,65
15,87,90,85,83
12,84,74,72,72
10,73,72,69,75
11,77,82,83,81
15,85,84,88,87
14,86,79,73,76
13,81,82,78,82
9,73,58,53,51
15,87,83,82,86
9,69,71,67,64
5,60,43,42,40
11,76,69,68,71
15,91,86,83,81
13,81,87,81,81
12,81,83,89,91
14,85,86,82,80
7,61,65,62,61
14,89,89,87,86
4,52,44,44,44
5,56,50,49,54
9,73,68,62,61
15,89,87,90,87
